"Pace Breaker Short
9""",,$68.00 ,,3.5 out of 5,1 out of 5,DBCDIVE,,,,,,fit and,,Pace Breaker Short - I couldn't be more disappointed,8/3/18,"Having bought 6 or 7 pairs of these shorts over the years I made the mistake of buying two more without trying them on or carefully inspecting them. Lululemon changed the liner and now a large size fits like a small. In addiction, the side zipper pocket has been eliminated. Why take a good product and downgrade it? My wife and I have purchased dozens of Lululemon items over the years and chose to shop there for quality and innovative products. If cost savings are becoming more important than customer satisfaction then i am afraid we will look elsewhere.",3-Aug-18,"Hey dbcdive,

We’re writing to follow up on your recent review. We want your gear to support your sweatiest pursuits and it sounds like your Pace Breaker Short *Reflective 9"" isn’t up to the task. We’d love to turn this around and get you into gear that works for you. Look out for an email from us soon!",0,0
"Pace Breaker Short
9""",,$68.00 ,,3.5 out of 5,2 out of 5,JMAN0000010,"CHARLOTTE, NC, USA",RUNNER,18-24,ATHLETIC,the liner,"too long, too much material",,An alright pair of shorts,8/1/18,"Basically they are just fake workout shorts. They're too long to do any sort of running or biking, so I mostly just use them for wearing around the house. They're perfectly fine for wearing around the house but I can get shorts for like 8 dollars to wear around the house. These shorts were around 60 and really aren't useful for any of my athletic activities. I got them as a gift, so they aren't something I would ever spend my own money on.",,,0,0
"Pace Breaker Short
9""",,$68.00 ,,3.5 out of 5,5 out of 5,ACTIVEDAD,"FARRAGUT, TN, USA",SWEATY GENERALIST,35-44,SOLID,i love everything about these shorts,if the price were lower that would be nice,just right,Best shorts for men,7/30/18,"I've tried most brands out there that offer a boxer brief liner and the non-updated Pacebreaker remains the standard in excellence. Perfect amount of room, great pockets, high quality fabric, perfect length, great waistband and draw strings, and on and on. I find that other brands in my XL size are too tight and don't offer the roomy comfort that my Pb's do. I'm 6'1"" and weigh about 220lbs. I wear my Pb's for workouts, running, soccer, travel, grocery shopping, biking, you name it. If I could alter the dress code of my work environment, I would wear my Pb's to work. They're just so darn perfect! Customer service from lululemon is also the best in the biz.",,,0,0
"Pace Breaker Short
9""",,$68.00 ,,3.5 out of 5,5 out of 5,JBURD,"SACRAMENTO, CA, USA",SWEATY GENERALIST,35-44,SOLID,pockets,,,Great Fit,7/29/18,"The Pacebreaker has the best overall fit, they are great for yoga, hiking and bootcamp classes.",,,0,0
"Pace Breaker Short
9""",,$68.00 ,,3.5 out of 5,1 out of 5,USELESSHUMOR,"NEW YORK, NY, USA",SWEATY GENERALIST,35-44,ATHLETIC,,the recent change in the size of the liners,,The New Liners are Super Tight!,7/27/18,"Back in 2014, I discovered these shorts and fell in love with them. I've since purchased eight pairs of these in blue camo, black, dark blue and indigo starlight. And, I've raved about how great they are to all of my friends. Unfortunately, the last two I purchased have the new liners and they are close to intolerable. They're so expensive that I've resigned myself to continue wearing them. However, it's back to the drawing board for finding a good pair of shorts to sleep and exercise in.",30-Jul-18,"Dear UselessHumor,

Thank you for taking the time to share your feedback with us. I'm sorry to hear that your Pace Breaker Short *Reflective is not performing for you! Keep an eye out for an email coming your way. Chat soon!",0,0
"Pace Breaker Short
9""",,$68.00 ,,3.5 out of 5,1 out of 5,SRG123,CHICAGO,RUNNER,25-34,ATHLETIC,,material,just right,Low quality material,7/18/18,"Received 2 pair of short as a gift. On one pair, my liner tore within 2 weeks. On the other, the color completely faded after 3 washes. I have been a long time customer of Lululemon, so I expected better quality.",19-Jul-18,"Dear srg123,

Thank you for taking the time to share your feedback with us. I'm sorry to hear that the liner on Pace Breaker Short *Reflective 9"" has ripped! There should not be color fading either! Keep an eye out for an email coming your way. Chat soon!",0,0
"Pace Breaker Short
9""",,$68.00 ,,3.5 out of 5,1 out of 5,PUMA2018,,,,,,new liner,second skin,NEW LINER IS HORRIBLE!,7/14/18,"Have been a loyal lululemon short customer for around 7 years, have purchased over 50 pairs. The liner on the update pace maker short is horrible, its tight, rides up the leg constantly, it is unwearable! I don't understand why they changed it if the previous one was so popular, I have many friends that stopped buying the shorts and I am doing the same. Its a shame.",15-Jul-18,"Hey puma2018,

Thanks for taking the time to share some feedback on the Pace Breaker Short Reflective 9"". I'm sorry to hear the updated liner is not working out for you. Keep an eye out for an email headed your way. Chat soon!",0,0
"Pace Breaker Short
9""",,$68.00 ,,3.5 out of 5,1 out of 5,MCCDART,,SWEATY GENERALIST,35-44,ATHLETIC,,,,Miss the old version,6/25/18,I've owned 5 pairs of pace breaker and went in to try on the new version and opted not to buy. As noted in other reviews the new liner rides up and the fit has changed. I did not end up purchasing them and am so disappointed as these were my go to workout shorts.,,,0,0
"Pace Breaker Short
9""",,$68.00 ,,3.5 out of 5,1 out of 5,KINGCRIB,"MINNEAPOLIS, MN, USA",SWEATY GENERALIST,35-44,ATHLETIC,,,tight,Old ones were prefect... these are unwearable,6/25/18,"4 pair of the old ones, the new liner is horrible. Rides up, overly hot, feels like rubber. Do not buy these shorts. Please fix these Lulu!",25-Jun-18,"Hey kingcrib,

We appreciate you taking the time to share your feedback with us.We want your gear to support your sweatiest pursuits, but it sounds this isn’t the case for you. Hang tight for an email coming your way! Chat soon.",0,0
"Pace Breaker Short
9""",,$68.00 ,,3.5 out of 5,1 out of 5,BEABOARDER,"ARIZONA, USA",SWEATY GENERALIST,45-54,ATHLETIC,"fit, style",fabric not holding up,,"Nice fitting short, but the fabric doesn’t hold up",6/21/18,"I’m a big Lululemon fan and have purchased many different types of their clothing over the years.Unfortunately this last two pair of shorts, the fabric has not held up well at all. After only a couple of washings (I’m very careful about how my Lululemon clothes get washed), the fabric has begun to pill and fray on both pair of shorts. I’m quite disappointed, and am hoping that maybe I just got a bad batch, for now I’m hesitant on buying anymore of this particular short.",21-Jun-18,"Hey Beaborder,
Thanks for taking the time to share your thoughts. It sounds like you've had a less-than-thrilling experience and I'd love to help! Keep your eye out for an email from us shortly -- chat soon!",0,0
"Pace Breaker Short
9""",,$68.00 ,,3.5 out of 5,1 out of 5,CLYDESDALERUNNER,"SAN DIEGO, CA, USA",RUNNER,45-54,ATHLETIC,pockets fit feel,seams unravel,,Favorite shorts Not very durable,6/18/18,"I like the pockets, the fit, and the feel. The best running shorts that I have owned. Lulu shorts seemed pricey to me, but I tried them and really like them. The problem is they unravel at the seam in the crotch area. I have had shorts where the material wears through, but this is the actual seam unraveling. They are good for the gym - maybe not so much for running.",19-Jun-18,"Hey ClydesdaleRunner,

We appreciate your feedback regarding the Pace Breaker Short *Reflective 9"".We're sorry to read of your recent experience and would love to discuss this further. We'll be following up via email to discuss this further. Speak soon!",0,0
"Pace Breaker Short
9""",,$68.00 ,,3.5 out of 5,1 out of 5,HENGWEN,"VANCOUVER, BC, CANADA",,,,,,,Banana Spilt,6/18/18,"I was happy with these shorts until I realized that the seam is splitting on the left side where the hidden zippered pocket is at. I thought it was just unraveling of the threads. I haven't even used zippered pocket that much. And I haven't worn my shorts to do any crazy activities. All I can hope is that this happens to be a manufacturer defect.
Sorry but quality bad",18-Jun-18,"Hi HenGwen,
Thanks for taking the time to reach out. It's not good to hear that your gear has not held up and I'd love to help turn this around. I've sent an email your way so we can help you find a fix.",0,0
