"Switch Up Short
6""",,$78.00 ,$59.00 - 64.00,3 out of 5,1 out of 5,RALPH,"NEW BRUNSWICK, CANADA",SWEATY GENERALIST,18-24,ATHLETIC,"color, pocket","fit, quality",tight,Beware,7/18/18,"Have to say this might be a new worst, Took the shorts out of the bag brand new and they all-ready have loose threads.(i expect a lot more from a $75 pair of shorts) The new mens line just is not holding up the way it used to.",19-Jul-18,"Dear Ralph,

Thank you for taking the time to share your feedback with us. I'm sorry to hear that your Switch Up Short *6"" is not performing for you! Keep an eye out for an email coming your way. Chat soon!",0,1
"Switch Up Short
6""",,$78.00 ,$59.00 - 64.00,3 out of 5,5 out of 5,INSERTCLEVERNAMEHERE,"VANCOUVER, BC, CANADA",SWEATY GENERALIST,18-24,ATHLETIC,,,,You need these,7/17/18,"I got a pair of these shorts at a lululemon event, i ended up ordering three more pairs. The length of these shorts are perfect, at 5 11' they sit a good length above the knee. the pockets on these shorts are also amazing. I have an iphone 8+ and fits well in the pockets with my wallet and keys if I'm wearing these shorts outside the gym. You wont be disappointed",,,0,1
"Switch Up Short
6""",,$78.00 ,$59.00 - 64.00,3 out of 5,1 out of 5,TRUENORTH,"TORONTO, ON, CANADA",SWEATY GENERALIST,18-24,ATHLETIC,"design, pockets",bonded seams,just right,Stay Away - Bonded Seams,6/13/18,"I love the design of these shorts and the addition of three pockets is awesome. However, the bonded seams don't wear very well, as over time they loose their shape and become warped. Causing the shorts to look awful. Would recommend staying away from these.",,,0,1
"Switch Up Short
6""",,$78.00 ,$59.00 - 64.00,3 out of 5,5 out of 5,GIOVANNIPARDO,"AUSTIN, TX",SWEATY GENERALIST,18-24,ATHLETIC,,,,Best pair of shorts Lululemon has made,3/12/18,"I had to replace my surge 7"" short because the zipper broke. However, I do not like the new style of surge shorts with the zippered pocket at the back which led me to these.
These are the perfect size, perfect fit. I love the two zippered pockets on the sides and the hidden back pocket as well.",,,0,1
Metal Vent Tech Hoodie,,$98.00 ,$79.00 ,2.1 out of 5,2 out of 5,CDPCDP,CANADA,SWEATY GENERALIST,35-44,ATHLETIC,,,,Still Love Lulu...but not this item,6/23/18,"After purchasing several products over the years and having minimal problems, this one tops the list. The feel and comfort level of the hoodie feels good like all of my other shirts, the problem is it lacks a consistent shape. After a few wears the shirt lost any form it had and shortly after lost it all. It definitely does not live up to the lululemon standards on all their products. Be careful of the shape and fit when purchasing. This will not steer me away from the rest of the items they sell , however I will be more careful of future purchase.",24-Jun-18,"Dear cdpcdp,

Thank you for taking the time to share your feedback with us. I am sorry to hear that the fit of the Metal Vent Tech Hoodie was not working out for you. Keep an eye out for an email coming your way. Chat Soon!",0,0
Metal Vent Tech Hoodie,,$98.00 ,$79.00 ,2.1 out of 5,1 out of 5,THEMAN,"NEW YORK, NY, USA",RUNNER,25-34,MUSCULAR,,"fit, durability, longevity",,Big Mistake,6/6/18,"I am usually a big Fan of LULU products but I am Extremely disappointed with this Top. The sizing is VERY inconsistent and the quality is Poor!
I've worn this shirt 3 times and the stitching by the stomach had come undone and stretched out tremendously it is now unwearable . I really would expect more from spending $100 on a top. Big Mistake",6-Jun-18,"Hi TheMAN,
Thanks for reaching out and providing this feedback for us. We stand behind the quality of our gear, and we’d like to work with you towards a fix.Please be on the lookout for an email headed your way. It'll detail the next steps to take to resolve this.",0,0
Metal Vent Tech Hoodie,,$98.00 ,$79.00 ,2.1 out of 5,2 out of 5,SLOWBRO,,,,,design,quality,,Beautiful aesthetic but questionable quality,5/11/18,"Purchased this in store 1 week ago as the design is sleek and beautiful, but after wearing it twice it's started to snag and has already become unwearable. Unfortunate that this piece is not high quality as it is one of the nicest looking tops from Lulu.",11-May-18,"Hey slowbro,

Thanks for reaching out and providing this feedback for us. We'd love to hear more of your experience with your Metal Vent Tech Hoodie. Please keep an eye on your inbox as I'll be reaching out shortly to connect.",0,0
Metal Vent Tech Hoodie,,$98.00 ,$79.00 ,2.1 out of 5,1 out of 5,BURBS,"CHICAGO, IL, USA",CYCLIST,18-24,ATHLETIC,,,,poor,3/16/18,iv had this for around 2 months and it already has a tear. I did not snag this on anything for it to have a tear. very poor quality for the price you pay for something.,19-Mar-18,"Hi Burbs,
Thank you for taking the time to review the Metal Vent Tech Hoodie. We stand behind the quality of our product, and we want to ensure that you're in gear that is performing well for you. I hear that this is not the case and would like to work with you to create a resolution. We have sent you an email outlining a few options.",0,0
Metal Vent Tech Hoodie,,$98.00 ,$79.00 ,2.1 out of 5,1 out of 5,JUSTOILMAN,CALIFORNIA,RUNNER,45-54,ATHLETIC,,,,not happy w/ this one LuLu...,2/15/18,"LuLu: just take a look at my purchases online ( excluding purchases out of state) and have been a huge fan of all your stuff. I just received this couple days ago and wore it twice. Looks like a cat has snagged it and I don't even have a cat. I wore it into work and looked down and had my cell phone up against it and it snagged it. I have several types of your hoodies and 1/4 zips, some of them are 2 years old and none of them have any snags like this. I'm really disappointed in this purchase. So future buyers beware of this. I love the look and cut of this but for it snag on any lil thing isn't going to cut it.",15-Feb-18,"Hey justoilman,
I really appreciate you taking the time to get in touch today and I'm sorry to hear your gear isn't performing for you. We stand behind the quality of our gear and I will be in touch via email to dig into this with you!
Chat soon.",0,0
Metal Vent Tech Hoodie,,$98.00 ,$79.00 ,2.1 out of 5,1 out of 5,DOAKY,"LOWELL, MICHIGAN",SWEATY GENERALIST,18-24,MUSCULAR,"color, fit",material durability,,Poor quality,2/7/18,"It looks great at first, but after a normal day and a wash it starts to snag. I love the color and the fit, but I can't continue to wear it because it will continue to snag and rip. It sucks to have spent $68 for only three wears.",8-Feb-18,"Hey Doaky,
Thanks for connecting with us. I'm so sorry to hear your Metal Vent Hoodie isn't holding up for you. We stand by the quality of our gear and want to make sure it's performing well for you. Keep an eye out for an email coming your way with some solutions.",0,0
Metal Vent Tech Hoodie,,$98.00 ,$79.00 ,2.1 out of 5,1 out of 5,APPLEBOI,GREENSBORO NC,SWEATY GENERALIST,25-34,MUSCULAR,,,,poor quality,1/25/18,The hoodie fits perfect but made with poor fabric. After two washes on gentle cycle I've noticed random pulling in the sleeve one leading to a small hole.,26-Jan-18,"Hey appleboi,
Thanks so much for sharing your thoughts today. We hear your disappointment and will be sending an email your way to follow up and lend a helping hand.
Speak soon.",0,0
Metal Vent Tech Hoodie,,$98.00 ,$79.00 ,2.1 out of 5,2 out of 5,CROC,,,,,color,material,,Low Quality Material,1/17/18,"I got this for Christmas. I love the color, but I noticed that the material is already snagged and I have not even worn it yet. After reading a few reviews, I am afraid it will just get worse.",18-Jan-18,"Hey croc,
I'm so sorry to hear your Metal Vent Hoodie isn't holding up for you. We stand by the quality of our gear and want to make sure it's performing well for you. Please give our GEC a call at 1.877.263.9300 so that they can offer some solutions.",0,0
Metal Vent Tech Hoodie,,$98.00 ,$79.00 ,2.1 out of 5,1 out of 5,CHRISTIAN,ONTARIO CANADA,SWEATY GENERALIST,18-24,ATHLETIC,"fit, comfortability",quality,,Lasts 3 Wears,1/13/18,Super comfortable I love all Lulu products except this one...,15-Jan-18,"Hi Christian,
We’re sorry to hear that your gear isn't holding up as expected. Please give our GEC a call at 1.877.263.9300 to chat through some options.",0,0
Metal Vent Tech Hoodie,,$98.00 ,$79.00 ,2.1 out of 5,1 out of 5,JOEYF,,SWEATY GENERALIST,25-34,MUSCULAR,,quality,,"Awesome fit, poor quality",12/20/17,Bought this two days ago and the hoodie is already pilling! Love the feel and cut of the hoodie (slim and form-fitting) but unfortunately only after two days of wearing I have pilling on the sides of the jacket. I have not washed it and just worn casually. So incredibly disappointed. Anyone have recommendations?,21-Dec-17,"Hey JoeyF,
Thanks so much for sharing your thoughts with us today. We stand behind the quality of our gear and will be following up with some solutions via email.",0,0
Metal Vent Tech Hoodie,,$98.00 ,$79.00 ,2.1 out of 5,1 out of 5,MMS1414,"NAPLES, FL, USA",,45-54,LEAN,"color, feel, fit","fabric durability, quality",,Not what I expected from Lululemon,11/27/17,"I bought 2 hoodies and one 1/2 zip. Initially, I really liked the look, fit, and feel of all three as this was my first experience with Lululemon. As comfortable and well fitting as these shirts were, they quickly began to look worn out. I noticed pilling and frayed edges after the first use. I was really excited about the feel and look and planned to wear them while working out going forward, but the fabric durability is beyond disappointing. Unwearable now as they no longer have that fresh clean cut look. Expected much better after paying $98 per shirt.",27-Nov-17,"Hey MMS1414,
Thanks so much for taking the time to get in touch today and share your thoughts. I definitely hear your disappointment and would love to help. Keep an eye out for an email coming your way with some solutions!
Chat soon.",0,0
